cba80be,Chris Shannon,7 days ago,Merge pull request #25 from cshannon-mdsol/master
15e397e,Chris Shannon,7 days ago,Merge pull request #24 from cshannon-mdsol/Chris
14da924,Chris Shannon,7 days ago,Trying to get random to work
aa9eba5,Chris Shannon,7 days ago,Trying to get random to work
17d6370,Chris Shannon,7 days ago,Trying to get random to work
e5d3f5f,Chris Shannon,7 days ago,Trying to get random to work
8e82859,Chris Shannon,7 days ago,Trying to get random to work
4ae2eb9,Chris Shannon,7 days ago,Trying to get random to work
72564bc,Chris Shannon,7 days ago,Trying to get random to work
db5faec,Chris Shannon,7 days ago,Trying to get random to work
29d7d16,Chris Shannon,7 days ago,Trying to get random to work
958ee72,Chris Shannon,7 days ago,Merge pull request #15 from cshannon-mdsol/Chris
f1a8212,Chris Shannon,7 days ago,Testing docker
3d34b85,sderosa,7 days ago,Feature: Added data to files
0c1a53b,sderosa,7 days ago,Fix: Working to get the correct datatype so both sides are equal assertEqual()
e955dcc,sderosa,7 days ago,Fix: File needs to be correct data type in order to get the correct return
99d328f,Chris Shannon,7 days ago,Testing docker
44ef268,sderosa,7 days ago,Feature: Use this data to reference Sampling Correlation and its calculations
b676daa,sderosa,8 days ago,Task: Added additional methods
39e35ab,sderosa,8 days ago,Feature: Added and corrected data on CSV files
a98be51,sderosa,8 days ago,Task: Quartiles, Sample Correlation, Skewness, and ZScore needs to be corrected with data types
040f885,sderosa,8 days ago,Feature: Standard Deviation and Variance had been debugged and are in working condition
8446063,Chris Shannon,8 days ago,Testing docker
ce61005,Chris Shannon,8 days ago,Update .gitignore
270c340,Chris Shannon,8 days ago,Merge pull request #14 from cshannon-mdsol/chris'
a5c9590,Chris Shannon,8 days ago,Making recommended PyCharm changes
76749f3,sderosa,8 days ago,Fix: Corrected data to match data in the application
20d112b,sderosa,8 days ago,Feature: Sample Correlation has been fix and logic is working properly
2508411,Kimberly McDaniel,8 days ago,Task: Updated ReadMe.md file with tasks in progress.
7c680fe,sderosa,9 days ago,Feature: Added a changelog file to repo
1cf7165,sderosa,9 days ago,Fix: Standard Deviation on how it fetch it data through a list[]
